lect_name,credit,is_must,credit_design
Computer Aided Engineering,3.0,0.0,0.0
경영과학(OR)및실습1,3.0,1.0,0.0
경영정보시스템및실습,3.0,1.0,1.5
기술관리,3.0,1.0,0.0
생산관리,3.0,1.0,1.5
스마트카공학개론,3.0,0.0,0.0
스마트카융합종합설계,3.0,0.0,3.0
시스템경영공학종합설계,3.0,1.0,3.0
실험적자료분석,3.0,0.0,0.0
유니버설디자인의이해,3.0,1.0,1.5
인간공학및실습,3.0,1.0,2.0
자료구조개론,3.0,0.0,0.0
최적설계,3.0,0.0,0.0
확률및랜덤프로세스,3.0,0.0,0.0
4차산업혁명과창업비즈니스,1.0,0.0,0.0
AI포사이트,3.0,0.0,0.0
CAD/제품정보관리및실습,3.0,0.0,1.0
HCI,3.0,0.0,1.0
객체지향프로그래밍이론및실습,3.0,0.0,1.5
경영과학(OR)및실습2,3.0,0.0,1.0
경영예측기법,3.0,0.0,0.0
경영혁신론,3.0,0.0,0.0
경제성공학,3.0,0.0,0.0
계량경영분석,3.0,0.0,0.0
공급사슬관리,3.0,0.0,0.0
공학과인공지능,3.0,0.0,0.0
공학수치해석,3.0,0.0,0.0
공학연구프로젝트Ⅰ,2.0,0.0,0.0
공학연구프로젝트Ⅱ,2.0,0.0,0.0
공학연구프로젝트Ⅲ,2.0,0.0,0.0
공학연구프로젝트Ⅳ,2.0,0.0,0.0
과학적작업관리및실습,3.0,0.0,1.0
글로벌경영전략,3.0,0.0,0.0
글로벌캡스톤디자인,3.0,0.0,0.0
글로벌테크노경영,2.0,0.0,0.0
기술경영개론,3.0,0.0,0.0
기술사업화캡스톤디자인,3.0,0.0,0.0
기술전략,3.0,0.0,0.0
기술혁신,3.0,0.0,0.0
다학제융합종합설계,3.0,0.0,3.0
데이타베이스및실습,3.0,0.0,1.0
데이터과학을위한프로그래밍,3.0,0.0,0.0
데이터마이닝,3.0,0.0,0.0
디지털생산/PLM및실습,3.0,0.0,1.0
머신러닝과딥러닝,3.0,0.0,0.0
발명가를위한실천적특허법,3.0,0.0,0.0
비즈니스창의성,3.0,0.0,0.0
빅데이터와인공지능을활용한시스템강건설계,2.0,0.0,0.0
산학융합캡스톤디자인,3.0,0.0,0.0
생산정보시스템,3.0,0.0,0.0
서비스공학,3.0,0.0,0.0
시뮬레이션및실습,3.0,0.0,1.5
시스템경영공학현장실습2,3.0,0.0,0.0
시스템경영공학현장실습2A,3.0,0.0,0.0
시스템경영공학현장실습2B,3.0,0.0,0.0
시스템경영공학현장실습3,3.0,0.0,0.0
시스템경영공학현장실습3A,3.0,0.0,0.0
시스템경영공학현장실습3B,3.0,0.0,0.0
시스템경영공학현장실습4,3.0,0.0,0.0
시스템경영공학현장실습4A,3.0,0.0,0.0
시스템경영공학현장실습4B,3.0,0.0,0.0
시스템경영공학현장실습5,3.0,0.0,0.0
신인성경영공학,3.0,0.0,0.0
실험계획법,3.0,0.0,0.0
인공지능개론및실습,3.0,0.0,0.0
인공지능과디지털수학,3.0,0.0,0.0
인지공학개론,3.0,0.0,0.0
전략적의사결정,3.0,0.0,0.0
정보시스템분석및설계,3.0,0.0,0.0
제조시스템공학,3.0,0.0,1.5
제조전략이해,3.0,0.0,0.0
제품개발,3.0,0.0,0.0
지식공학,3.0,0.0,0.0
지식재산창업전략,3.0,0.0,0.0
차세대컴퓨터인터페이스설계,3.0,0.0,0.0
창의적융합디자인,3.0,1.0,3.0
특허아이디어검색과활용,3.0,0.0,0.0
품질경영,3.0,0.0,0.0
품질경영공학,3.0,0.0,0.0
혁신전략과경영,3.0,0.0,0.0
확률적시스템분석,3.0,0.0,0.0
확률통계개론,3.0,0.0,0.0
