,lect_name,prof_name,lect_room,lect_time,lect_time_numbered,lect_onoff,lect_domain,credit
0,성균논어,김미라,['51205'],"월11:00-11:50, 월12:00-12:50","['월24', '월25', '월26', '월27', '월28', '월29', '월30', '월31', '월32', '월33', '월36', '월37', '월38', '월39', '월40', '월41', '월42', '월43', '월44', '월45']",글로벌-혁신[온라인사전강의 + 오프라인 또는 온라인 Real Time Streaming,"['성균인성.리더십', '인성']",2
1,성균논어,임선영,['51205'],"월13:00-13:50, 월14:00-14:50","['월48', '월49', '월50', '월51', '월52', '월53', '월54', '월55', '월56', '월57', '월60', '월61', '월62', '월63', '월64', '월65', '월66', '월67', '월68', '월69']",글로벌-혁신[온라인사전강의 + 오프라인 또는 온라인 Real Time Streaming,"['성균인성.리더십', '인성']",2
2,성균논어,최다은,['51205'],"월15:00-15:50, 월16:00-16:50","['월72', '월73', '월74', '월75', '월76', '월77', '월78', '월79', '월80', '월81', '월84', '월85', '월86', '월87', '월88', '월89', '월90', '월91', '월92', '월93']",글로벌-혁신[온라인사전강의 + 오프라인 또는 온라인 Real Time Streaming,"['성균인성.리더십', '인성']",2
3,성균논어,김종석,['51205'],"화11:00-11:50, 화12:00-12:50","['화24', '화25', '화26', '화27', '화28', '화29', '화30', '화31', '화32', '화33', '화36', '화37', '화38', '화39', '화40', '화41', '화42', '화43', '화44', '화45']",글로벌-혁신[온라인사전강의 + 오프라인 또는 온라인 Real Time Streaming,"['성균인성.리더십', '인성']",2
4,실천리더십,권경자,['85602'],"월13:00-13:50, 월14:00-14:50","['월48', '월49', '월50', '월51', '월52', '월53', '월54', '월55', '월56', '월57', '월60', '월61', '월62', '월63', '월64', '월65', '월66', '월67', '월68', '월69']",글로벌-혁신[온라인사전강의 + 오프라인 또는 온라인 Real Time Streaming,"['성균인성.리더십', '리더십']",2
5,실천리더십,윤민향,['27515'],"목15:00-15:50, 목16:00-16:50","['목72', '목73', '목74', '목75', '목76', '목77', '목78', '목79', '목80', '목81', '목84', '목85', '목86', '목87', '목88', '목89', '목90', '목91', '목92', '목93']",글로벌-혁신[온라인사전강의 + 오프라인 또는 온라인 Real Time Streaming,"['성균인성.리더십', '리더십']",2
6,고급영어쓰기,매튜심슨,['27517'],"수15:00-15:50, 수16:00-16:50","['수72', '수73', '수74', '수75', '수76', '수77', '수78', '수79', '수80', '수81', '수84', '수85', '수86', '수87', '수88', '수89', '수90', '수91', '수92', '수93']",오프라인,"['글로벌', '전문영어']",2
7,글로벌영어,저스틴바라스,['85602'],"수13:00-13:50, 수14:00-14:50","['수48', '수49', '수50', '수51', '수52', '수53', '수54', '수55', '수56', '수57', '수60', '수61', '수62', '수63', '수64', '수65', '수66', '수67', '수68', '수69']",오프라인,"['글로벌', '전문영어']",2
8,동아시아역사와문화,다니엘종스베켄디크,['85712'],"월13:00-13:50, 월14:00-14:50","['월48', '월49', '월50', '월51', '월52', '월53', '월54', '월55', '월56', '월57', '월60', '월61', '월62', '월63', '월64', '월65', '월66', '월67', '월68', '월69']",오프라인,"['글로벌', '글로벌문화']",2
9,문예영어,닉헤이즈,['27532'],"수11:00-11:50, 수12:00-12:50","['수24', '수25', '수26', '수27', '수28', '수29', '수30', '수31', '수32', '수33', '수36', '수37', '수38', '수39', '수40', '수41', '수42', '수43', '수44', '수45']",오프라인,"['글로벌', '전문영어']",2
